"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2019","78.73","78.73","78.73","78.73","-","-1.89%"
"Oct 21, 2019","80.25","80.25","80.25","80.25","-","2.43%"
"Oct 18, 2019","78.35","78.35","78.35","78.35","-","0.95%"
"Oct 17, 2019","77.61","77.61","77.61","77.61","-","-0.42%"
"Oct 16, 2019","77.94","77.94","77.94","77.94","-","-2.65%"
"Oct 15, 2019","80.06","80.06","80.06","80.06","-","0.25%"
"Oct 11, 2019","79.86","79.86","79.86","79.86","-","-0.35%"
"Oct 10, 2019","80.14","80.14","80.14","80.14","-","1.04%"
"Oct 09, 2019","79.31","79.31","79.31","79.31","-","-1.44%"
"Oct 08, 2019","80.47","80.47","80.47","80.47","-","-1.70%"
"Oct 07, 2019","81.86","81.86","81.86","81.86","-","-1.55%"
"Oct 04, 2019","83.15","83.15","83.15","83.15","-","-5.45%"
"Oct 03, 2019","87.94","87.94","87.94","87.94","-","-1.61%"
"Oct 02, 2019","89.39","89.39","89.39","89.39","-","4.41%"
"Oct 01, 2019","85.61","85.61","85.61","85.61","-","10.89%"
"Sep 30, 2019","77.20","77.20","77.20","77.20","-","-3.47%"
"Sep 27, 2019","79.97","79.97","79.97","79.97","-","0.13%"
"Sep 26, 2019","79.87","79.87","79.87","79.87","-","-0.43%"
"Sep 25, 2019","80.22","80.22","80.22","80.22","-","-3.43%"
"Sep 24, 2019","83.07","83.07","83.07","83.07","-","2.54%"
"Sep 23, 2019","81.01","81.01","81.01","81.01","-","1.17%"
"Sep 20, 2019","80.07","80.07","80.07","80.07","-","2.47%"
"Sep 19, 2019","78.14","78.14","78.14","78.14","-","-1.91%"
"Sep 18, 2019","79.66","79.66","79.66","79.66","-","-6.01%"
"Sep 17, 2019","84.76","84.76","84.76","84.76","-","-1.38%"
"Sep 16, 2019","85.95","85.95","85.95","85.95","-","0.49%"
"Sep 13, 2019","85.53","85.53","85.53","85.53","-","10.26%"
"Sep 12, 2019","77.57","77.57","77.57","77.57","-","1.13%"
"Sep 11, 2019","76.70","76.70","76.70","76.70","-","-0.10%"
"Sep 10, 2019","76.78","76.78","76.78","76.78","-","0.45%"
"Sep 09, 2019","76.44","76.44","76.44","76.44","-","-3.02%"
"Sep 06, 2019","78.82","78.82","78.82","78.82","-","-1.37%"
"Sep 05, 2019","79.92","79.92","79.92","79.92","-","-2.06%"
"Sep 04, 2019","81.60","81.60","81.60","81.60","-","-4.30%"
"Sep 03, 2019","85.27","85.27","85.27","85.27","-","-1.87%"
"Aug 30, 2019","86.89","86.89","86.89","86.89","-","-0.06%"
"Aug 29, 2019","86.94","86.94","86.94","86.94","-","-3.25%"
"Aug 28, 2019","89.87","89.87","89.87","89.87","-","1.35%"
"Aug 27, 2019","88.67","88.67","88.67","88.67","-","0.79%"
"Aug 26, 2019","87.98","87.98","87.98","87.98","-","-4.19%"
"Aug 23, 2019","91.82","91.82","91.82","91.82","-","10.43%"
"Aug 22, 2019","83.15","83.15","83.15","83.15","-","-1.61%"
"Aug 21, 2019","84.51","84.51","84.51","84.51","-","-2.71%"
"Aug 20, 2019","86.86","86.86","86.86","86.86","-","0.43%"
"Aug 19, 2019","86.49","86.49","86.49","86.49","-","-3.38%"
"Aug 16, 2019","89.52","89.52","89.52","89.52","-","-1.21%"
"Aug 15, 2019","90.62","90.62","90.62","90.62","-","3.90%"
"Aug 14, 2019","87.22","87.22","87.22","87.22","-","12.26%"
"Aug 13, 2019","77.70","77.70","77.70","77.70","-","-4.75%"
"Aug 12, 2019","81.58","81.58","81.58","81.58","-","3.30%"
"Aug 09, 2019","78.97","78.97","78.97","78.97","-","0.53%"
"Aug 08, 2019","78.55","78.55","78.55","78.55","-","-0.66%"
"Aug 07, 2019","79.08","79.08","79.08","79.08","-","6.97%"
"Aug 06, 2019","73.92","73.92","73.92","73.92","-","-4.29%"
"Aug 05, 2019","77.24","77.24","77.24","77.24","-","16.82%"
"Aug 02, 2019","66.11","66.11","66.11","66.11","-","2.22%"
"Aug 01, 2019","64.68","64.68","64.68","64.68","-","17.07%"
"Jul 31, 2019","55.25","55.25","55.25","55.25","-","-4.49%"
"Jul 30, 2019","57.84","57.84","57.84","57.84","-","-1.20%"
"Jul 29, 2019","58.55","58.55","58.55","58.55","-","-0.60%"
"Jul 26, 2019","58.90","58.90","58.90","58.90","-","-3.42%"
"Jul 25, 2019","60.99","60.99","60.99","60.99","-","0.46%"
"Jul 24, 2019","60.71","60.71","60.71","60.71","-","-0.84%"
"Jul 23, 2019","61.23","61.23","61.23","61.23","-","0.41%"
"Jul 22, 2019","60.97","60.97","60.97","60.97","-","-4.53%"
"Jul 19, 2019","63.86","63.86","63.86","63.86","-","1.18%"
"Jul 18, 2019","63.12","63.12","63.12","63.12","-","1.33%"
"Jul 17, 2019","62.29","62.29","62.29","62.29","-","1.63%"
"Jul 16, 2019","61.29","61.29","61.29","61.29","-","-0.97%"
"Jul 15, 2019","61.90","61.90","61.90","61.90","-","-1.40%"
"Jul 12, 2019","62.78","62.78","62.78","62.78","-","-0.29%"
"Jul 11, 2019","62.96","62.96","62.96","62.96","-","0.91%"
"Jul 10, 2019","62.39","62.39","62.39","62.39","-","-0.81%"
"Jul 09, 2019","62.90","62.90","62.90","62.90","-","-0.50%"
"Jul 08, 2019","63.22","63.22","63.22","63.22","-","-3.15%"
"Jul 05, 2019","65.28","65.28","65.28","65.28","-","-4.46%"
"Jul 03, 2019","68.33","68.33","68.33","68.33","-","-0.40%"
"Jul 02, 2019","68.60","68.60","68.60","68.60","-","3.11%"
"Jul 01, 2019","66.53","66.53","66.53","66.53","-","-5.54%"
"Jun 28, 2019","70.43","70.43","70.43","70.43","-","0.74%"
"Jun 27, 2019","69.92","69.92","69.92","69.92","-","-5.18%"
"Jun 26, 2019","73.73","73.73","73.73","73.73","-","-0.66%"
"Jun 25, 2019","74.22","74.22","74.22","74.22","-","0.63%"
"Jun 24, 2019","73.76","73.76","73.76","73.76","-","-1.16%"
"Jun 21, 2019","74.63","74.63","74.63","74.63","-","3.12%"
"Jun 20, 2019","72.37","72.37","72.37","72.37","-","1.40%"
"Jun 19, 2019","71.37","71.37","71.37","71.37","-","-7.00%"
"Jun 18, 2019","76.74","76.74","76.74","76.74","-","-0.18%"
"Jun 17, 2019","76.88","76.88","76.88","76.88","-","-4.88%"
"Jun 14, 2019","80.82","80.82","80.82","80.82","-","6.71%"
"Jun 13, 2019","75.74","75.74","75.74","75.74","-","10.69%"
"Jun 12, 2019","68.43","68.43","68.43","68.43","-","5.39%"
"Jun 11, 2019","64.93","64.93","64.93","64.93","-","-1.06%"
"Jun 10, 2019","65.62","65.62","65.62","65.62","-","-4.47%"
"Jun 07, 2019","68.69","68.69","68.69","68.69","-","-6.44%"
"Jun 06, 2019","73.42","73.42","73.42","73.42","-","-5.44%"
